Datum,Unternehmen,Produkt,Modifikation,Produktionslinie,Schicht,Stueckzahl,Ausschuss,Betriebsstunden,Stillstandszeit_Min,MaxTemperatur,Durchschnittstemperatur,Softwareversion,Firmwareversion,EndOfLine_Test,Materialkosten,Energieverbrauch_kWh,Auftragsnummer,Status,Fehlercode,Mitarbeiter_Produktion
2019-01-03,TechSystems AG,Robust Panel PC,RPPC-1000,Linie 2,Spät,64,1,7.8,39,46.4,44.7,v2.7,f3.7,Bestanden,2100.19,12.05,A-12191,abgeschlossen,-,120
2019-01-03,NextFactory Solutions,Industrie-Server,SRV-520,Linie 4,Nacht,24,0,8.9,34,74.5,66.0,v4.3,f3.6,Bestanden,4523.31,29.57,A-22341,abgeschlossen,VIBRATION,110
2019-01-03,NextFactory Solutions,Industrie-PC,IPC-110,Linie 4,Nacht,91,5,2.1,54,64.7,54.9,v2.5,f2.1,Bestanden,4097.01,28.78,A-63702,Fehler,TEMP_HIGH,110
2019-01-03,Industrium GmbH,Industrie-PC,IPC-150,Linie 4,Früh,178,10,2.2,28,51.8,42.5,v2.1,f1.0,Bestanden,5423.6,33.7,A-82765,in Produktion,TEMP_HIGH,90
2019-01-04,Industrium GmbH,Edge Controller,EC-250,Linie 3,Früh,91,3,11.8,32,66.4,60.4,v1.5,f2.4,Bestanden,5689.1,21.78,A-30994,pausiert,VIBRATION,90
2019-01-04,ControlWare KG,Industrie-PC,IPC-150,Linie 4,Spät,279,25,7.4,15,72.5,63.7,v4.5,f3.4,Bestanden,6074.71,9.64,A-14344,in Produktion,POWER_FAIL,75
2019-01-04,Industrium GmbH,Industrie-PC,IPC-150,Linie 2,Spät,275,21,5.4,20,40.3,36.0,v2.8,f1.9,Bestanden,3670.58,18.77,A-41752,in Produktion,I/O_ERROR,90
2019-01-04,ControlWare KG,IO-Gateway,IOGW-55,Linie 4,Nacht,255,3,8.8,12,78.1,69.7,v2.9,f1.5,Bestanden,4203.62,37.54,A-29162,pausiert,POWER_FAIL,75
2019-01-05,NextFactory Solutions,Monitoring Unit,MON-820,Linie 3,Nacht,263,3,8.9,48,68.3,64.0,v2.2,f2.7,Bestanden,9707.6,14.85,A-25933,pausiert,I/O_ERROR,110
2019-01-05,NextFactory Solutions,Robust Panel PC,RPPC-1000,Linie 1,Nacht,228,20,4.7,39,40.2,34.9,v4.6,f2.8,Bestanden,4661.01,18.03,A-35084,abgeschlossen,POWER_FAIL,110
2019-01-05,ControlWare KG,Industrie-Server,SRV-520,Linie 4,Spät,133,8,10.2,20,57.5,53.0,v4.4,f1.3,Bestanden,5193.34,27.68,A-33623,in Produktion,VIBRATION,75
2019-01-05,NextFactory Solutions,IO-Gateway,IOGW-50,Linie 1,Nacht,211,16,6.2,54,61.1,57.9,v2.7,f3.7,Bestanden,4277.69,24.76,A-90429,in Produktion,I/O_ERROR,110
2019-01-06,NextFactory Solutions,Monitoring Unit,MON-820,Linie 2,Nacht,233,14,8.9,53,85.6,79.4,v3.9,f1.6,Bestanden,2642.5,19.72,A-58819,pausiert,I/O_ERROR,110
2019-01-06,ControlWare KG,Automation Unit,AU-710,Linie 4,Nacht,262,20,8.6,2,65.9,61.2,v2.6,f1.8,Bestanden,4865.14,9.52,A-27823,in Produktion,TEMP_HIGH,75
2019-01-06,TechSystems AG,IO-Gateway,IOGW-50,Linie 2,Spät,26,2,6.0,36,50.2,44.8,v1.7,f3.5,Bestanden,4809.98,25.34,A-23987,Fehler,I/O_ERROR,120
2019-01-06,ControlWare KG,Automation Unit,AU-710,Linie 2,Spät,43,1,2.8,58,83.2,77.6,v4.3,f2.1,Bestanden,8255.29,35.36,A-95819,in Produktion,TEMP_HIGH,75
2019-01-06,NextFactory Solutions,Control Panel,CP-470,Linie 3,Nacht,141,3,11.5,19,63.6,55.0,v2.3,f1.7,Nicht bestanden,6294.92,8.46,A-36603,abgeschlossen,-,110
2019-01-06,ControlWare KG,Embedded Box PC,EPC-35,Linie 3,Früh,66,6,10.9,7,60.5,53.5,v1.6,f1.4,Bestanden,2432.08,36.85,A-86594,Fehler,I/O_ERROR,75
2019-01-07,ControlWare KG,Industrie-PC,IPC-150,Linie 4,Nacht,267,6,7.7,28,52.8,48.2,v2.3,f2.8,Bestanden,6581.64,16.59,A-84592,abgeschlossen,-,75
2019-01-07,NextFactory Solutions,Robust Panel PC,RPPC-1100,Linie 2,Früh,153,14,3.7,52,46.6,40.1,v1.2,f2.0,Bestanden,1000.74,39.32,A-75558,pausiert,POWER_FAIL,110
2019-01-07,Industrium GmbH,Monitoring Unit,MON-800,Linie 4,Spät,97,8,11.8,50,55.3,46.0,v4.0,f2.8,Bestanden,4058.3,25.83,A-50517,pausiert,-,90
2019-01-07,NextFactory Solutions,Industrie-Server,SRV-520,Linie 3,Spät,289,22,10.1,50,56.1,53.8,v1.7,f2.8,Bestanden,9843.6,26.56,A-53090,pausiert,VIBRATION,110
2019-01-07,TechSystems AG,Robust Panel PC,RPPC-1100,Linie 4,Spät,153,10,3.7,42,77.4,68.4,v1.0,f1.0,Bestanden,9282.94,12.16,A-42309,abgeschlossen,VIBRATION,120
2019-01-08,TechSystems AG,Automation Unit,AU-710,Linie 4,Nacht,211,4,10.0,40,66.7,62.2,v4.0,f1.2,Bestanden,3896.16,9.45,A-13871,abgeschlossen,TEMP_HIGH,120
2019-01-08,NextFactory Solutions,Embedded Box PC,EPC-30,Linie 2,Nacht,200,7,11.6,50,83.6,77.3,v3.7,f2.3,Bestanden,2965.77,33.24,A-54857,abgeschlossen,TEMP_HIGH,110
2019-01-08,TechSystems AG,Robust Panel PC,RPPC-1000,Linie 4,Früh,247,18,9.1,50,63.3,58.4,v1.7,f1.4,Bestanden,5944.72,5.96,A-30711,in Produktion,TEMP_HIGH,120
2019-01-08,Industrium GmbH,Robust Panel PC,RPPC-1100,Linie 1,Nacht,78,1,11.3,11,51.1,46.7,v1.6,f2.8,Bestanden,9706.93,6.11,A-50976,pausiert,POWER_FAIL,90
2019-01-08,Industrium GmbH,HMI-Terminal,HMI-15,Linie 3,Früh,61,1,2.3,20,59.6,52.7,v3.2,f3.2,Bestanden,2448.15,23.15,A-70014,pausiert,VIBRATION,90
2019-01-08,ControlWare KG,Robust Panel PC,RPPC-1100,Linie 2,Nacht,119,4,5.0,47,44.9,35.4,v3.4,f3.8,Bestanden,3029.81,33.04,A-18880,in Produktion,POWER_FAIL,75
2019-01-09,TechSystems AG,Embedded Box PC,EPC-35,Linie 1,Früh,28,2,9.9,39,60.0,56.5,v2.4,f2.6,Bestanden,8451.41,35.77,A-18034,pausiert,-,120
2019-01-09,NextFactory Solutions,Automation Unit,AU-700,Linie 3,Spät,167,9,9.4,9,45.9,42.9,v2.7,f2.2,Bestanden,4441.33,31.96,A-17736,pausiert,VIBRATION,110
2019-01-09,NextFactory Solutions,Automation Unit,AU-700,Linie 3,Früh,233,7,11.4,31,62.2,60.3,v4.8,f2.4,Bestanden,7967.22,21.66,A-49409,in Produktion,TEMP_HIGH,110
2019-01-09,TechSystems AG,IO-Gateway,IOGW-55,Linie 2,Nacht,172,15,3.8,45,84.0,82.4,v4.3,f3.1,Bestanden,6983.28,12.41,A-28549,in Produktion,I/O_ERROR,120
2019-01-09,Industrium GmbH,Control Panel,CP-400,Linie 4,Früh,122,3,7.1,8,80.7,72.0,v4.4,f1.5,Bestanden,3650.65,39.0,A-14092,in Produktion,-,90
2019-01-10,ControlWare KG,Monitoring Unit,MON-800,Linie 2,Früh,35,1,7.2,31,84.0,81.5,v3.1,f1.3,Bestanden,6568.86,22.55,A-89067,in Produktion,TEMP_HIGH,75
2019-01-10,Industrium GmbH,Control Panel,CP-400,Linie 2,Früh,110,3,4.7,47,59.3,55.8,v4.8,f1.8,Bestanden,7978.28,25.51,A-12172,pausiert,VIBRATION,90
2019-01-10,TechSystems AG,Automation Unit,AU-700,Linie 1,Nacht,227,17,7.0,53,79.6,78.3,v1.9,f2.5,Nicht bestanden,4054.21,33.85,A-28937,abgeschlossen,POWER_FAIL,120
2019-01-10,TechSystems AG,Control Panel,CP-470,Linie 2,Spät,179,3,1.6,14,77.9,70.4,v3.2,f3.4,Bestanden,9649.76,7.94,A-20417,Fehler,POWER_FAIL,120
2019-01-11,Industrium GmbH,Embedded Box PC,EPC-30,Linie 1,Spät,177,7,5.3,57,82.4,75.1,v1.1,f2.9,Bestanden,5954.77,14.38,A-29853,in Produktion,VIBRATION,90
2019-01-11,NextFactory Solutions,IO-Gateway,IOGW-55,Linie 3,Nacht,260,23,5.3,53,43.2,37.8,v2.0,f3.2,Bestanden,2766.78,35.11,A-46866,pausiert,-,110
2019-01-11,Industrium GmbH,Industrie-PC,IPC-150,Linie 2,Spät,268,26,2.9,20,87.1,81.6,v1.3,f3.5,Bestanden,2767.12,38.6,A-27642,Fehler,VIBRATION,90
2019-01-11,Industrium GmbH,IO-Gateway,IOGW-50,Linie 2,Früh,155,15,8.4,38,40.8,37.8,v4.0,f1.8,Bestanden,1801.86,38.32,A-58842,pausiert,POWER_FAIL,90
2019-01-11,ControlWare KG,Control Panel,CP-470,Linie 2,Früh,98,9,8.7,2,54.8,48.3,v4.5,f1.4,Bestanden,1884.95,25.81,A-23933,pausiert,TEMP_HIGH,75
2019-01-11,ControlWare KG,HMI-Terminal,HMI-15,Linie 4,Spät,290,22,9.3,51,60.1,50.1,v2.9,f1.3,Bestanden,4321.35,20.0,A-52606,Fehler,POWER_FAIL,75
2019-01-12,Industrium GmbH,Automation Unit,AU-710,Linie 1,Spät,278,7,1.9,45,69.2,59.9,v2.5,f3.3,Bestanden,3413.12,11.81,A-19819,Fehler,VIBRATION,90
2019-01-12,ControlWare KG,Industrie-Server,SRV-520,Linie 1,Spät,270,23,3.7,22,46.1,37.3,v2.5,f1.2,Bestanden,7778.84,23.21,A-12020,pausiert,TEMP_HIGH,75
2019-01-12,Industrium GmbH,Robust Panel PC,RPPC-1000,Linie 1,Spät,94,2,2.3,29,49.0,44.7,v4.9,f2.9,Bestanden,9091.71,14.23,A-50600,in Produktion,I/O_ERROR,90
2019-01-13,ControlWare KG,Control Panel,CP-400,Linie 1,Spät,144,3,9.1,35,89.8,86.8,v1.9,f3.5,Bestanden,5691.39,37.92,A-52158,in Produktion,I/O_ERROR,75
2019-01-13,Industrium GmbH,Automation Unit,AU-700,Linie 3,Früh,131,13,5.0,1,83.8,82.1,v1.2,f2.9,Bestanden,4747.73,20.13,A-33172,in Produktion,I/O_ERROR,90
2019-01-13,NextFactory Solutions,Embedded Box PC,EPC-35,Linie 3,Früh,158,10,3.7,14,87.2,86.1,v4.6,f1.7,Bestanden,8438.77,16.42,A-16830,abgeschlossen,TEMP_HIGH,110
2019-01-14,NextFactory Solutions,Industrie-PC,IPC-100,Linie 1,Spät,130,4,11.5,48,58.4,54.9,v2.0,f2.3,Bestanden,7339.5,30.95,A-82713,abgeschlossen,-,110
2019-01-14,ControlWare KG,Edge Controller,EC-210,Linie 2,Nacht,148,1,4.5,33,61.9,54.6,v4.9,f2.6,Bestanden,4587.18,7.58,A-50012,pausiert,POWER_FAIL,75
2019-01-14,ControlWare KG,HMI-Terminal,HMI-15,Linie 1,Nacht,144,12,7.8,19,64.5,59.1,v4.1,f1.3,Bestanden,4545.0,32.44,A-83518,in Produktion,VIBRATION,75
2019-01-14,Industrium GmbH,Monitoring Unit,MON-800,Linie 2,Nacht,138,13,3.6,14,40.0,33.6,v4.5,f3.0,Bestanden,9119.54,35.82,A-17518,pausiert,POWER_FAIL,90
2019-01-15,TechSystems AG,HMI-Terminal,HMI-15,Linie 3,Spät,56,4,1.5,11,53.3,49.3,v4.4,f1.9,Bestanden,6644.57,29.73,A-88998,pausiert,TEMP_HIGH,120
2019-01-15,ControlWare KG,IO-Gateway,IOGW-50,Linie 1,Spät,208,2,1.9,49,73.6,69.9,v2.6,f1.1,Bestanden,5578.98,35.16,A-55134,Fehler,TEMP_HIGH,75
2019-01-15,ControlWare KG,IO-Gateway,IOGW-50,Linie 4,Spät,288,18,1.7,55,86.3,79.2,v3.0,f2.2,Bestanden,5649.55,6.89,A-14638,Fehler,-,75
2019-01-15,TechSystems AG,Control Panel,CP-430,Linie 4,Spät,88,5,4.3,59,61.8,52.8,v3.2,f1.6,Bestanden,3578.03,19.8,A-84539,abgeschlossen,TEMP_HIGH,120
2019-01-15,TechSystems AG,HMI-Terminal,HMI-10,Linie 4,Früh,23,1,7.1,45,74.9,73.2,v1.2,f2.8,Bestanden,7037.97,9.92,A-52452,in Produktion,TEMP_HIGH,120
2019-01-16,NextFactory Solutions,Industrie-PC,IPC-150,Linie 3,Nacht,38,2,5.5,30,66.4,61.2,v1.9,f1.1,Bestanden,9921.16,12.73,A-80796,Fehler,POWER_FAIL,110
2019-01-16,TechSystems AG,Robust Panel PC,RPPC-1000,Linie 1,Spät,149,12,5.3,30,48.1,46.7,v4.0,f2.5,Bestanden,3776.0,12.27,A-39757,pausiert,TEMP_HIGH,120
2019-01-16,ControlWare KG,Edge Controller,EC-210,Linie 4,Nacht,26,0,3.6,16,45.4,41.7,v4.5,f3.8,Bestanden,1903.92,7.58,A-94438,pausiert,-,75
2019-01-16,Industrium GmbH,Industrie-Server,SRV-520,Linie 3,Spät,208,3,1.0,51,53.7,45.1,v3.7,f2.4,Bestanden,3570.11,39.58,A-62028,abgeschlossen,POWER_FAIL,90
2019-01-16,Industrium GmbH,Embedded Box PC,EPC-35,Linie 2,Früh,109,10,3.1,42,52.6,50.5,v4.0,f1.4,Bestanden,7468.3,15.09,A-49042,pausiert,-,90
2019-01-17,Industrium GmbH,Robust Panel PC,RPPC-1000,Linie 1,Früh,95,2,1.0,30,44.8,36.2,v4.2,f2.6,Bestanden,5429.02,21.28,A-50949,Fehler,VIBRATION,90
2019-01-17,Industrium GmbH,Automation Unit,AU-700,Linie 1,Nacht,30,1,8.8,23,85.8,76.1,v4.4,f2.2,Bestanden,3219.04,34.54,A-46803,abgeschlossen,VIBRATION,90
2019-01-17,Industrium GmbH,Monitoring Unit,MON-800,Linie 1,Nacht,178,16,8.8,24,64.0,59.2,v2.0,f2.4,Bestanden,9289.27,21.94,A-49223,Fehler,POWER_FAIL,90
2019-01-18,TechSystems AG,Embedded Box PC,EPC-30,Linie 2,Nacht,86,4,7.5,31,81.6,78.4,v2.1,f3.5,Bestanden,7550.72,24.02,A-18855,Fehler,-,120
2019-01-18,ControlWare KG,HMI-Terminal,HMI-10,Linie 1,Früh,280,16,2.7,29,41.0,37.1,v2.5,f2.8,Bestanden,1121.13,31.02,A-55546,abgeschlossen,-,75
2019-01-18,Industrium GmbH,HMI-Terminal,HMI-15,Linie 3,Früh,136,3,8.6,26,49.0,42.3,v1.9,f3.7,Bestanden,7298.28,32.81,A-79584,Fehler,POWER_FAIL,90
2019-01-18,ControlWare KG,IO-Gateway,IOGW-50,Linie 1,Spät,67,0,9.1,33,80.2,72.9,v3.2,f1.8,Bestanden,6596.6,5.64,A-73032,pausiert,I/O_ERROR,75
2019-01-19,NextFactory Solutions,IO-Gateway,IOGW-55,Linie 1,Nacht,79,0,9.9,0,66.8,57.8,v3.2,f1.5,Nicht bestanden,3694.0,28.47,A-41411,pausiert,TEMP_HIGH,110
2019-01-19,Industrium GmbH,Control Panel,CP-400,Linie 1,Früh,201,9,4.4,43,55.7,46.2,v3.0,f1.7,Bestanden,3414.83,13.1,A-76283,Fehler,TEMP_HIGH,90
2019-01-19,ControlWare KG,Edge Controller,EC-250,Linie 1,Nacht,59,1,1.7,17,62.3,61.2,v3.0,f1.3,Bestanden,3089.01,9.89,A-82361,pausiert,VIBRATION,75
2019-01-19,NextFactory Solutions,Industrie-Server,SRV-520,Linie 3,Früh,238,16,11.4,30,53.1,45.3,v2.5,f2.6,Nicht bestanden,3598.38,39.8,A-19702,in Produktion,POWER_FAIL,110
2019-01-19,NextFactory Solutions,IO-Gateway,IOGW-55,Linie 3,Spät,43,1,10.1,3,85.8,76.5,v1.3,f3.9,Bestanden,8932.89,20.98,A-20382,Fehler,VIBRATION,110
2019-01-20,ControlWare KG,Edge Controller,EC-200,Linie 2,Spät,111,7,8.8,17,75.7,67.8,v1.8,f2.8,Bestanden,8465.97,30.83,A-16270,abgeschlossen,I/O_ERROR,75
2019-01-20,Industrium GmbH,Edge Controller,EC-250,Linie 4,Spät,114,1,4.8,18,80.7,74.0,v2.8,f2.7,Bestanden,6317.77,20.05,A-92258,abgeschlossen,TEMP_HIGH,90
2019-01-20,NextFactory Solutions,Industrie-Server,SRV-500,Linie 1,Spät,67,4,10.8,24,88.6,83.0,v2.6,f1.7,Bestanden,6585.92,30.22,A-17902,abgeschlossen,POWER_FAIL,110
2019-01-20,NextFactory Solutions,Edge Controller,EC-210,Linie 3,Früh,279,13,1.1,16,40.2,37.6,v1.6,f2.0,Bestanden,9367.8,7.73,A-55556,Fehler,-,110
2019-01-20,TechSystems AG,Edge Controller,EC-210,Linie 2,Früh,106,3,7.2,32,73.2,67.0,v1.4,f2.3,Bestanden,3053.3,28.41,A-86816,pausiert,-,120
2019-01-20,Industrium GmbH,Industrie-Server,SRV-500,Linie 2,Früh,198,4,3.6,33,44.8,35.6,v4.4,f3.9,Bestanden,1463.19,12.5,A-10400,abgeschlossen,-,90
2019-01-21,NextFactory Solutions,Automation Unit,AU-710,Linie 1,Nacht,263,12,9.7,28,83.4,74.6,v3.8,f2.9,Nicht bestanden,1407.56,26.64,A-15525,Fehler,TEMP_HIGH,110
2019-01-21,ControlWare KG,Industrie-Server,SRV-500,Linie 1,Spät,201,18,6.4,34,70.4,68.1,v2.7,f2.9,Bestanden,3256.31,33.74,A-75119,Fehler,VIBRATION,75
2019-01-21,NextFactory Solutions,HMI-Terminal,HMI-10,Linie 1,Früh,193,15,1.1,16,46.5,44.8,v1.5,f1.9,Bestanden,5621.67,9.77,A-31157,pausiert,VIBRATION,110
2019-01-21,ControlWare KG,HMI-Terminal,HMI-10,Linie 4,Spät,159,4,5.2,22,60.3,54.7,v1.2,f3.8,Bestanden,6724.33,11.82,A-38106,Fehler,-,75
2019-01-22,ControlWare KG,Automation Unit,AU-700,Linie 1,Spät,206,15,3.4,41,40.8,34.9,v1.6,f1.7,Bestanden,9967.42,14.37,A-82470,abgeschlossen,-,75
2019-01-22,ControlWare KG,Monitoring Unit,MON-800,Linie 4,Spät,194,7,8.3,42,75.6,72.7,v1.5,f1.0,Bestanden,1677.55,28.27,A-85346,in Produktion,TEMP_HIGH,75
2019-01-22,ControlWare KG,Monitoring Unit,MON-800,Linie 4,Früh,192,7,8.2,15,43.5,42.4,v2.5,f2.8,Bestanden,7883.06,23.53,A-76631,in Produktion,VIBRATION,75
2019-01-22,NextFactory Solutions,Edge Controller,EC-250,Linie 3,Früh,293,12,9.3,20,74.3,64.8,v1.6,f3.8,Bestanden,2319.7,24.07,A-22739,abgeschlossen,TEMP_HIGH,110
2019-01-22,TechSystems AG,Robust Panel PC,RPPC-1100,Linie 2,Nacht,106,8,2.7,42,81.4,79.2,v4.1,f1.9,Bestanden,7223.11,12.14,A-61073,Fehler,VIBRATION,120
2019-01-22,Industrium GmbH,Control Panel,CP-400,Linie 3,Nacht,201,17,2.4,6,59.5,50.7,v4.6,f3.1,Bestanden,8950.5,23.93,A-86992,Fehler,VIBRATION,90
2019-01-23,Industrium GmbH,Automation Unit,AU-700,Linie 3,Nacht,161,7,7.5,20,61.5,59.6,v4.9,f1.8,Bestanden,5415.17,13.87,A-34978,abgeschlossen,POWER_FAIL,90
2019-01-23,TechSystems AG,Monitoring Unit,MON-820,Linie 1,Früh,77,3,5.9,59,86.6,85.0,v4.8,f3.2,Nicht bestanden,1810.03,33.32,A-84407,in Produktion,POWER_FAIL,120
2019-01-23,ControlWare KG,IO-Gateway,IOGW-55,Linie 1,Früh,82,5,11.0,14,75.3,73.6,v1.3,f1.1,Bestanden,9881.07,10.55,A-90859,in Produktion,VIBRATION,75
2019-01-24,TechSystems AG,Edge Controller,EC-250,Linie 4,Spät,127,11,3.6,29,56.3,47.2,v1.8,f2.9,Bestanden,5713.83,39.54,A-15622,Fehler,POWER_FAIL,120
2019-01-24,NextFactory Solutions,Robust Panel PC,RPPC-1100,Linie 3,Nacht,230,12,8.4,3,60.9,51.2,v3.9,f2.7,Bestanden,6296.93,14.18,A-17638,Fehler,POWER_FAIL,110
2019-01-24,TechSystems AG,IO-Gateway,IOGW-50,Linie 4,Spät,48,4,11.4,42,54.7,50.2,v1.8,f1.2,Bestanden,1579.49,36.33,A-41312,abgeschlossen,-,120
2019-01-24,ControlWare KG,Automation Unit,AU-710,Linie 4,Nacht,41,1,3.4,56,59.4,53.1,v1.4,f3.7,Bestanden,8761.65,36.9,A-83727,Fehler,TEMP_HIGH,75
2019-01-24,ControlWare KG,IO-Gateway,IOGW-55,Linie 3,Nacht,131,1,2.0,43,79.9,76.9,v3.3,f3.5,Bestanden,2604.89,28.61,A-10675,in Produktion,-,75
2019-01-25,NextFactory Solutions,Industrie-PC,IPC-110,Linie 1,Nacht,127,9,11.9,42,89.7,80.2,v3.8,f1.1,Bestanden,2183.27,15.17,A-55697,in Produktion,POWER_FAIL,110
2019-01-25,Industrium GmbH,Embedded Box PC,EPC-30,Linie 1,Nacht,108,8,4.5,23,43.7,36.4,v3.4,f3.6,Bestanden,2866.85,19.59,A-74797,abgeschlossen,VIBRATION,90
2019-01-25,ControlWare KG,Industrie-PC,IPC-110,Linie 3,Früh,172,1,2.0,54,63.5,54.0,v3.9,f3.6,Bestanden,6772.88,30.51,A-63525,in Produktion,POWER_FAIL,75
2019-01-25,NextFactory Solutions,Automation Unit,AU-700,Linie 3,Spät,130,4,8.6,56,69.9,60.9,v2.8,f2.0,Bestanden,5712.84,23.52,A-95026,in Produktion,TEMP_HIGH,110
2019-01-25,NextFactory Solutions,Industrie-Server,SRV-520,Linie 1,Früh,267,10,9.4,47,67.2,66.1,v4.8,f3.0,Bestanden,1635.63,33.5,A-16477,abgeschlossen,I/O_ERROR,110
2019-01-26,TechSystems AG,Industrie-Server,SRV-520,Linie 2,Früh,202,19,6.2,34,74.8,71.2,v3.4,f2.1,Nicht bestanden,1175.81,22.3,A-79614,pausiert,TEMP_HIGH,120
2019-01-26,NextFactory Solutions,Industrie-Server,SRV-500,Linie 4,Nacht,31,1,3.9,19,51.4,46.3,v4.0,f1.9,Bestanden,8330.61,17.3,A-24350,Fehler,I/O_ERROR,110
2019-01-26,Industrium GmbH,Automation Unit,AU-710,Linie 4,Nacht,42,4,4.2,40,86.5,80.3,v3.1,f1.4,Bestanden,9486.3,8.05,A-26501,abgeschlossen,I/O_ERROR,90
2019-01-26,ControlWare KG,Edge Controller,EC-210,Linie 2,Spät,285,2,11.0,29,52.0,46.6,v3.1,f3.1,Bestanden,2177.43,21.49,A-94516,Fehler,VIBRATION,75
2019-01-27,ControlWare KG,Automation Unit,AU-700,Linie 2,Spät,30,0,8.8,45,87.8,86.0,v4.3,f1.5,Bestanden,6897.05,8.65,A-44127,pausiert,TEMP_HIGH,75
2019-01-27,Industrium GmbH,Monitoring Unit,MON-800,Linie 4,Früh,123,2,4.6,30,82.3,74.0,v4.0,f2.7,Bestanden,1663.98,11.58,A-51030,abgeschlossen,TEMP_HIGH,90
2019-01-27,ControlWare KG,Industrie-Server,SRV-500,Linie 4,Spät,269,10,6.8,4,61.7,55.1,v1.0,f2.7,Bestanden,7213.85,11.76,A-82607,pausiert,-,75
2019-01-27,Industrium GmbH,Monitoring Unit,MON-800,Linie 2,Spät,124,8,9.6,38,65.2,62.5,v1.9,f3.1,Bestanden,7424.5,12.13,A-83137,abgeschlossen,-,90
2019-01-27,Industrium GmbH,HMI-Terminal,HMI-15,Linie 1,Nacht,260,6,2.6,47,41.0,36.8,v1.9,f1.8,Bestanden,6107.79,7.91,A-27913,pausiert,I/O_ERROR,90
2019-01-27,Industrium GmbH,Industrie-PC,IPC-150,Linie 3,Früh,184,13,4.4,3,82.6,79.7,v1.8,f1.1,Bestanden,3185.7,13.84,A-68980,Fehler,I/O_ERROR,90
2019-01-28,Industrium GmbH,Control Panel,CP-470,Linie 4,Spät,200,6,3.1,45,88.9,80.1,v1.1,f1.5,Nicht bestanden,2021.25,10.59,A-43692,in Produktion,I/O_ERROR,90
2019-01-28,TechSystems AG,Embedded Box PC,EPC-30,Linie 4,Nacht,211,15,9.6,19,80.6,77.8,v2.9,f2.4,Bestanden,1761.74,39.59,A-26600,pausiert,POWER_FAIL,120
2019-01-28,NextFactory Solutions,HMI-Terminal,HMI-10,Linie 4,Spät,216,11,9.4,33,61.6,59.2,v2.7,f3.2,Bestanden,3315.72,21.42,A-45219,pausiert,TEMP_HIGH,110
2019-01-29,TechSystems AG,HMI-Terminal,HMI-15,Linie 4,Spät,194,15,11.1,18,61.8,59.6,v3.0,f2.8,Nicht bestanden,8932.49,9.4,A-78494,in Produktion,POWER_FAIL,120
2019-01-29,Industrium GmbH,HMI-Terminal,HMI-15,Linie 3,Nacht,274,14,5.2,48,70.6,67.8,v4.6,f2.9,Bestanden,7144.68,31.98,A-69356,in Produktion,VIBRATION,90
2019-01-29,TechSystems AG,Robust Panel PC,RPPC-1100,Linie 4,Früh,197,6,10.8,59,81.3,78.5,v4.7,f1.5,Nicht bestanden,1398.95,9.08,A-28075,abgeschlossen,POWER_FAIL,120
